ID	extID	name	tooltipbase	tilemap	graphicstype	enabled	parity	x	y	itemmemory	rng	overlap	nointeract	enemy	item	standable	warp
0x00C	None	Raphael the Raven	Activates Kamek cutscene for the Raphael battle, then Raphael knocks Yoshi off-screen. The cutscene removes Yoshi's eggs and sends him to the screen exit of the screen above.	d082A50A4 p16 r64 x-18 y-18		3						0	0	2			1
0x00D	None	Goal ring	Ends the level. Prevents horizontal scrolling after x+08 from its coordinates; requires a solid flat platform up to x+14.	d082AA024 p11 r16 x+D y-19; d082917A4 p12 r16 x+6 y-32 m.5; d082AA024 p11 r16 x+6 y-4F; d082917A4 p12 r16 x+D y-67 m.5; d08293F24 p11 r32 x+10 y-78 m.8; d082917A4 p11 r16 x+22 y-67; d08293EE4 p10 r16 x+29 y-4F m.5; d082917A4 p12 r16 x+29 y-31 m.5; d08293EE4 p10 r16 x+22 y-19 m.5; d082917A4 p12 r16 x+18 y-10 m.5		3		2	8		0	0	0	0	1	0	0
0x00E	None	GOAL text	Floats in the top-right corner of the screen. Doesn't load its own graphics or palette.		Stripe {no ID} in slots 4-5	1						0	1				
0x00F	None	Bonus Challenge text	Falls from above to the top-center of the screen, then scrolls faster than layer 1, looping from one side of the screen to the other. Overwrites stripe slots 0-3 for the remainder of the sublevel.		Dynamic, replaces stripe slots 0-3	1						0	1				
0x010	None	Caged Ghost, large	A large ghost that spits Shy Guys, if less than 6 eggs are present. Shrinks when hit, becoming stunned after 6 hits, but grows back over time.		L3=?	3						0	0	1			
0x011	None	Item from Bandit minigame victory	A glitched dynamic sprite that causes Yoshi to make a celebratory sound when collected, but doesn't actually give an inventory item.			1						0	0				
0x012	None	Boss door		d082A9FA4 p11 r16,32 x-8 y-10; d082A9FA4 p11 r16,32 x+8 y-10 fx		3					0	0	0	0	0	0	1
0x013	None	Boss explosion	A gray boss explosion that freezes Yoshi in place, then ends the level.		Global	2											
0x014	None	Key after x-8 boss	A large key that freezes Yoshi in place, falls onto Yoshi's head, and ends the level.	d0829E024 p11 r32 x-8 y-8		2											
0x015	None	Submarine torpedo		d08293764 p15 r16		2											
0x016	None	Bigger Boo	Boss activator.		L2=16 + L3=26	3						0	0	2			
0x017	None	Frog Pirate	A frog that can grab Baby Mario with its tongue.	s68 t18 p11 x-2 y+A; s68 t00 p11 r24,16 x-8; s68 t0C p11 x-3 y-5; s68 t0C p11 x+4 y-5; s68 t08 p11 x+E y+2; s68 t18 p11 x+E y+A; s68 t06 p11 x+5 y+A; s68 t06 p11 x-4 y+A		3						0	0	1			
0x018	None	Fire breath	Spawns for only 1 frame, but if overlapping an enemy, causes it to die as if by fire breath.	t42 p11 r16 fx a90	Dynamic, doesn't load its own graphic	1						0					
0x019	None	Bubble	From purple Crazee Dayzee/Barney Bubble. Pops immediately.	t142 p11 r16		2						0	0	1	1		
0x01A	None	Ski lift	A platform that travels along ski lift cables.	s2E t02 p10 r16 x+8 y+1A fx; s2E t02 p10 r16 x-8 y+1A; s2E t04 p10 r16 x+8 y+A; s2E t00 p10 r16 y-6		3			3			0	0			1	
0x01B	None	Wooden post, buoyant	Floats on the surface of liquid.	s48 t04 p14 r16 y-8; s48 t04 p14 r16 y+8 fy		3						0	0			1	
0x01C	None	Snowman	A snowman that can ski down hills, but is stationary if on a flat surface. Spawns an item when jumped on, but only once. Afterward, the snowman still spawns but contains nothing.		Dynamic (+ Stripe 5E, if Bumpty)	3	3			2		0	0	1			
0x01C	0	nothing	A snowman that can ski down hills, but is stationary if on a flat surface.	d082911A4 p11 r32 x-8 y-D						0							
0x01C	1	6 stars		d082911A4 p11 r32 x-8 y-D; t14A p12 r16 y-5 o50; t12E p10 y+5 o50; t12E p10 x+7 y+5 fx o50						2							
0x01C	2	1up		d082911A4 p11 r32 x-8 y-D; t200 p19 r32 x-8 y-C o50						2							
0x01C	3	Bumpty	A snowman that can ski down hills, but is stationary if on a flat surface. Spawns a Bumpty when approached, but only once. Afterward, the snowman still spawns but contains nothing.	d082911A4 p11 r32 x-8 y-D; s5E t0E p10 r16 y-5 o50; s5E t0C p10 x-3 y+3 o50; s5E t0C p10 x+3 y+3 o50						2							
0x01D	None	Ski lift, with snowman	A platform that travels along ski lift cables, with a snowman on it initially. The snowman never contains an item.	s2E t02 p10 r16 x+8 y+1A fx; s2E t02 p10 r16 x-8 y+1A; s2E t04 p10 r16 x+8 y+A; s2E t00 p10 r16 y-6; d082911A4 p11 r32 x-8 y-3		3			3			0	0	1		1	
0x01E	None	Shy Guy	Becomes a spawner, if at the top-left corner of pipe object F4.<br>Frozen if at the top-left corner of an ice block.			3	3			0	0	1	0	1	0	0	0
0x01E	0	green		t108 p10 r16; t12E p10 x+1 y+B; t12E p10 x+7 y+B													
0x01E	1	red		t108 p11 r16; t12E p10 x+1 y+B; t12E p10 x+7 y+B													
0x01E	2	yellow		t108 p12 r16; t12E p10 x+1 y+B; t12E p10 x+7 y+B													
0x01E	3	pink		t108 p14 r16; t12E p10 x+1 y+B; t12E p10 x+7 y+B													
0x01F	None	4-way rotating doors	A quickly-spinning circle of 4 numbered doors. When one door is hit, it replaces the current screen exit, and the other doors despawn. Door destinations are hardcoded at 0817CC7A.	d08292264 p10 r16,32 x+17 y-17; d08292264 p10 r16,32 x+27 y-17 fx; s31 t0C p11 r16 x+1F y-0F; d08292264 p10 r16,32 x-F y-30; d08292264 p10 r16,32 x+1 y-30 fx; s31 t0E p11 r16 x-7 y-28; d08292264 p10 r16,32 x-28 y-A; d08292264 p10 r16,32 x-18 y-A fx; s31 t28 p11 r16 x-20 y-2; d08292264 p10 r16,32 x-2 y+F; d08292264 p10 r16,32 x+E y+F fx; s31 t2A p11 r16 x+6 y+17; 	Stripe 31+40 next	3						0	0				2
0x020	None	Bandit	Grabs Baby Mario if touched. Takes 3 stomps, 6 eggs, or 1 ground pound to kill.	s4E t08 p10 r16 x-4 y-A; s4E t0A p10 x-4 y+5; s4E t0B p10 x+4 y+5; s4E t1E p10 x+7 y+8; s4E t1E p10 x-4 y+8		3						0	0	1			
0x021	None	? bucket, falls, buoyant	Falls when hit. If it falls into lava, it can be ridden safely.	t16C p12 x+4 y-6; d082A5FA4 p12 r32 x-8 y-8		3						0	0			1	
0x022	None	Flashing egg	Contains a red coin.	t100 p14 r16		3				2	0	0	0	0	1	0	0
0x023	None	Red egg	Contains 2 stars.	t100 p11 r16		3				2	0	0	0	0	1	0	0
0x024	None	Yellow egg	Contains a yellow coin.	t100 p12 r16		3				2	0	0	0	0	1	0	0
0x025	None	Green egg	A standard egg. Respawns when used, if placed directly.	t100 p10 r16		3					0	0	0	0	1	0	0
0x026	None	Giant egg, red (Bowser battle)	Thrown into the background. If thrown straight up, a star or dead Toadie may fall down.	t112 p11 r16 x+4 y-8; t110 p11 r16 x-4; t132 p11 x+C y+8; t114 p11 x-4 y-8	Stripe {no ID} in slot 4	2											
0x027	None	Key		t1CE p11 r16		3				2	0	0	0	0	1	0	0
0x028	None	Huffin Puffin, baby	(doesn't spawn when placed directly)			1											
0x029	None	Giant egg, during Super Baby form	(glitch)			1											
0x02A	None	Giant egg, red	Falls to the ground and transforms enemies into stars/coins when thrown. Makes Yoshi dizzy while aiming.	s2F t06 p11 r16 x-6 y-E; s2F t0A p11 r16 x+6 y-E; s2F t0C p11 r16 x-6; s2F t0E p11 r16 x+6		3					0	0	0	0	1	0	0
0x02B	None	Giant egg, green	Spawned from eating a Fat Guy. Falls to the ground and transforms enemies into stars/coins when thrown. Makes Yoshi dizzy while aiming.	s2F t06 p10 r16 x-6 y-E; s2F t0A p10 r16 x+6 y-E; s2F t0C p10 r16 x-6; s2F t0E p10 r16 x+6		3					0	0	0	0	1	0	0
0x02C	None	Lunge Fish	A large fish that lurks in the water, and can swallow Yoshi whole.	s32 t06 p11 r48,48 x-10 y-18	Stripe 32+33 next+34 next	3						0	0	1			
0x02D	None	Salvo the Slime	Boss activator.		L2=16	3						0	0	2			
0x02E	None	Salvo/Block Slime eyes	(glitch)			1											
0x02F	None	Little Mouser mousehole	Used with sprite 033, or can be placed alone for decoration.	s28 t06 p16 r16		3						0	0	0	0	0	0
0x030	None	Little Mouser	A mouse that can steal your eggs.			3	1					0	0	1	1	0	0
0x030	0	normal		s28 t00 p16 r16 x-2 y-2; s28 t14 p16 x+E y+3; s28 t03 p16 x+7 y+7; s28 t03 p16 x+1 y+7													
0x030	1	with egg		s28 t00 p16 r16 x-2 y-2; s28 t14 p16 x+E y+3; s28 t03 p16 x+7 y+7; s28 t03 p16 x+1 y+7; t102 p10 r16 y-10													
0x031	None	Spiked Fun Guy				3	1					0	0	1			
0x031	0	in pot	A small cactus that jumps in a pot. If it loses its pot, it moves along the ground.	s36 t08 p10 r16 y-A; s36 t0E p14 r16													
0x031	1	on ground	A small cactus that moves along the ground.	s36 t0A p10 r16													
0x032	None	Little Mouser, peeking out of mousehole	Decorative.			3	1					0	1	0	0	0	0
0x032	0	eyes peeking out		s28 t06 p16 r16; s28 t04 p12 x+4 y+4													
0x032	1	climbing up/down	Decorative. Despite looking interactive, this Little Mouser has no collision.	s28 t08 p16 r16 y-1; s28 t02 p16 y+8													
0x033	None	Little Mouser, circling 2.5D platform	Should be placed on sprite 02F, or the Mouser won't properly circle. Outside tileset 3, leaves its hole and acts like a normal Little Mouser when approached.	s28 t0E p16 r16 y-8; s28 t13 p16 x+4 y+8		3						4	0	1			
0x034	None	The Potted Ghost	Boss activator.		L2=16	3						0	0	2			
0x035	None		(glitch)			1											
0x036	None	Falling background wall	A background wall that looks like object {extprefix}.31, but falls to crush Yoshi when approached.		L3=?	3	3					0	0	1			
0x037	None	Grim Leecher	If touched, displaces Baby Mario, reversing your left/right controls.	s46 t0A p12 r16		3						0	0	1			
0x038	None	Potted Ghost's flame	Poofs out immediately.	s42 t56 p13 r16	Stripe 42+44 in slot+2?	1						0	0	1			
0x039	None	Rotating horizontal wood beam	A pseudo-3D ?-wide horizontal beam that rotates around the y-axis.		L3=?	3						0	0			1	
0x03A	None	Raven, wall-following, x3	A trio of small ravens that move along walls.	s4F t00 p11 r16 x-A y-2; s4F t12 p11 x-5 y-1; s4F t02 p11 x-A y+3; s4F t16 p11 x+3 y-5; s4F t05 p11 x-8 y+D; s4F t05 p11 y+D fx; s4F t00 p11 r16 x-2 y-2; s4F t12 p11 x+3 y-1; s4F t02 p11 x-2 y+3; s4F t16 p11 x+B y-5; s4F t05 p11 y+D; s4F t05 p11 x+8 y+D fx; s4F t00 p11 r16 x+6 y-2; s4F t12 p11 x+B y-1; s4F t02 p11 x+6 y+3; s4F t16 p11 x+13 y-5; s4F t05 p11 x+8 y+D; s4F t05 p11 x+10 y+D fx		3						0	0	1			
0x03B	None	Raven, wall-following	A small raven that moves along walls.	s4F t00 p11 r16 x-2 y-2; s4F t12 p11 x+3 y-1; s4F t02 p11 x-2 y+3; s4F t16 p11 x+B y-5; s4F t05 p11 y+D; s4F t05 p11 x+8 y+D fx		3						0	0	1			
0x03C	None	Tap-Tap the Red Nose/Golden		d082A51A4 p16 r64 x-18 y-9; d082A90A4 p16 r32 x-E y-1; d082AA124 p16 r32 x-19 y+21; d082AA124 p16 r32 x+9 y+21; t1E p16 r16 x-15 y+6	Stripe 4D in slot 0 + Dynamic	3			3			0	0	2			
0x03D	None	Tilting lever platform	A lever platform that rotates around its central point, extending 8 tiles in each direction.		L3=?	3	3					0	0			1	
0x03E	None	Red bridge, deformable	A bridge that sinks when Yoshi stands on it, and can be broken with a ground pound.	tC6 p11 x-20; tC7 p11 x-18; tC7 p11 x-10; tC7 p11 x-8; tC7 p11; tC7 p11 x+8; tC7 p11 x+10; tC6 p11 x+18 fx		3						0	0			1	
0x03F	None	Block Slime	A Salvo the Slime variant disguised as a block, which doesn't spawn Lemon Drops when hit, but drops a key when defeated. Should be placed on object 4C?		L3=?	3				2	0	0	0	1	1		
0x040	None	Baby Luigi after Bowser	Baby Luigi in a sack. Pokes his head out when Yoshi approaches.	d0829AF24 p16 r32 x-8 y-A; t150 p16 r16 x-3 y-B	Stripe {no ID} in slot 5	2											
0x041	None	Stork after Bowser	Stork tied to the roof. Struggles when Yoshi approaches.	t13D p16 x-1D y+44 fx; t11B p16 r16 x-13 y+40 fx; t11E p16 r16 x-18 y+50 fx; t117 p16 r16 x-8 y+37; t119 p16 r16 x-8 y+28; t9C p16 r16 x-C y+47; t11B p16 r16 x+3 y+40; t11E p16 r16 x+8 y+50; t13D p16 x+13 y+48; t130 p16 x-14 y+50; t11D p16 x-4 y+10; t11D p16 x-4 y+18; t11D p16 x-4 y+20; t9A p16 r16 x-8	Stripe {no ID} in slot 3 + {no ID} in slot 4	2			2								
0x042	None	Invisible pipe, downward	Used with object F4 to make Shy Guy spawner pipes enterable.	t184 p12 x+B y-20; t184 p12 x+D y-20 fx; t185 p12 x+8 y-18 fxy; t185 p12 x+10 y-18 fy; l1 t258 p3 r16 o50; l1 t278 p3 r16,8 x+10 o50; l1 t8F p3 x+10 y+8 o50; l1 t9F p3 x+18 y+8 o50	None	3			5			0	0				1
0x043	None	Giant Shy Guy, red	Acts like an ordinary Shy Guy aside from its size. If swallowed outside the Prince Froggy battle, produces an ordinary egg.	s70 t00 p11 r32,16 x-8 y-A; s70 t04 p11 r32,16 x-8 y+6; s70 t1A p11 x-9 y+C fx; s70 t0A p11 x-B y+8 fx; s70 t1A p11 x+10 y+C; s70 t0A p11 x+12 y+8		3						0	0	1			
0x044	None	Giant Shy Guy, green	Acts like an ordinary Shy Guy aside from its size. If swallowed outside the Prince Froggy battle, produces an ordinary egg.	s70 t00 p10 r32,16 x-8 y-A; s70 t04 p10 r32,16 x-8 y+6; s70 t1A p10 x-9 y+C fx; s70 t0A p10 x-B y+8 fx; s70 t1A p10 x+10 y+C; s70 t0A p10 x+12 y+8		3						0	0	1			
0x045	None	Prince Froggy			See tooltip	3	3					0	0	2			1
0x045	0	Froggy interior	<i>Layer effects=9 + L2=16 + L3=21 + Stripe 2F+70 + Dynamic?</i><br> Prince Froggy battle.														
0x045	1	boss activator	<i>Stripe 68+6A</i><br> Activates the Kamek cutscene when approached. The cutscene removes Yoshi's eggs and sends him to the current screen exit.	s68 t18 p11 x-2 y-1; s68 t00 p11 r24,16 x-8 y-B; s68 t0C p11 x-3 y-10; s68 t0C p11 x+4 y-10; s68 t08 p11 x+E y-9; s68 t18 p11 x+E y-1; s68 t06 p11 x+5 y-1; s68 t06 p11 x-4 y-1													
0x045	2	Froggy interior	<i>Layer effects=9 + L2=16 + L3=21 + Stripe 2F+70 + Dynamic?</i><br> Prince Froggy battle.														
0x045	3	Froggy defeated	<i>Stripe 68</i><br> Yoshi spawns shrunk and grows with a boss explosion, ending the level.	s68 t0C p11 fx x-2D y-C; s68 t19 p11 fxy x-42 y-20; s68 t19 p11 fxy x-39 y-22; s68 t03 p11 fx x-28 y-F; s68 t19 p11 fy x-2F y-1D; s68 t09 p11 x-34 y-1D; s68 t04 p11 fxy x-30 y-10; s68 t05 p11 fxy x-38 y-13; s68 t12 p11 fxy x-38 y-1A; s68 t16 p11 x-2F y-17; s68 t14 p11 fxy x-30 y-19; s68 t09 p11 x-3E y-1C; s68 t0C p11 x-34 y-E; s68 t19 p11 fxy x-39 y-1B; s68 t0D p11 x-2A y-19													
0x046	None	Burt the Bashful	Boss activator.		L2=16	3						0	0	2			
0x047	None	Potted Ghost's Shy Guy	No collision. Runs around glitchily and may try to push another sprite to no effect.	t5C p10 r16; t1D p10 x+8 y+A; t1B p10 x+A y-6; t1D p10 x+8 y+A	Stripe 42 in slot 0 + 43 in slot 1	1						0	1	0	0	0	0
0x048	None	Kamek, taunt/enlarging	Disables player controls. Used in boss rooms where Kamek spawns immediately (Burt, Potted Ghost, Milde, Raphael, Tap-Tap). Kamek message and visual effects depend on current world number and parity.			3	1					0	0				
0x048	0	x-4 properties															
0x048	1	x-8 properties															
0x049	None	Thunder Lakitu's ground fire?	(doesn't spawn when placed directly)			1						0	0	1			
0x04A	None	Thunder Lakitu's ground fire?	(doesn't spawn when placed directly)			1						0	0	1			
0x04B	None	Thunder Lakitu's ground fire?	(doesn't spawn when placed directly)			1						0	0	1			
0x04C	None	Blow Hard, ceiling	A cactus that periodically spits Needlenoses directly at Yoshi. Can be stunned by ground pounding nearby.	s36 t00 p10 r32,16 x-8 fy; d082A3FA4 r32 p10 x-12 y-2 fy		3						0	0	1			
0x04D	None	Balloon, attached to ground	A stationary balloon. Can be comboed with a Koopa shell/Melon Bug. Floats away if tongued.			3						0	0		1		
0x04D	0	yellow		t20A p12 r16,32 y-10													
0x04D	1	red		t20A p11 r16,32 y-10													
0x04D	2	green		t20A p10 r16,32 y-10													
0x04D	3	pink		t20A p14 r16,32 y-10													
0x04E	None	Locked door, minigame-type	Uses item memory to track its unlock status.<br>Duplicate of sprite 131. Hex-edit 080D5D56 to 01 to recreate the SNES behavior where this becomes an X door when unlocked.	d082A7EA4 p10 r16,32 x-8; d082A7EA4 p10 r16,32 x+8 fx		3			3	2	0	0	0	0	0	0	1
0x04F	None	Middle Ring	Gives +10 stars and a checkpoint, and transforms all on-screen enemies into stars/coins. Middle Ring ID depends on the sublevel header.	t85 p13 x+A y+27; tA4 p13 x+11 y+20; t84 p13 x+15 y+15; tA4 p13 x+17 y+8; t85 p13 x+15 y-6; tA5 p13 x+11 y-11; t85 p13 x+A y-17; tA4 p13 x+3 y-18; t84 p13 x-3 y-12; tA4 p13 x-8 y-8; t85 p13 x-9 y+6; tA5 p13 x-8 y+14; t85 p13 x-5 y+1F; tA4 p13 x+2 y+26;		3				2	0	0	0	0	1	0	0
0x050	None	5-wide wooden platform, tilting	A pseudo-3D wooden platform that tilts back and forth around the x-axis.		L3=?	3						0	0			1	
0x051	None	Rotating prism platform	A pseudo-3D platform shaped like a prism rotating around the x-axis. Rotates faster if Yoshi is standing on it, causing him to fall through.		L3=?	3	3					0	0			1	
0x052	None	Balloon, upward standable				3	1				1	0	0			1	
0x052	0	single	Floats upward, but slows if Yoshi stands on it. Balloon color is random yellow/red/pink/palette 16.	d082A31A4 p16 r32 x-8 y-8													
0x052	1	generator	Generates infinite upward balloons in this sprite's column. Balloon color is random yellow/red/pink/palette 16.	d082A31A4 p16 r32 y-C; d082A31A4 p14 r32 x-8 y-8													
0x053	None	Kamek, saying "OH, MY!!!"	Despawns Baby Mario and softlocks the game.			1											
0x054	None	Piranha Plant, ceiling	Eats Yoshi briefly if touched.	s29 t1A p11 x+8 fxy; s29 t1A p11 fy; s29 t0A p11 x+4 y+8 fy; d082971A4 p11 r32 x-17 y+1 fy		3					0	0	0	1	0	0	0
0x055	None	4-way manual platform, large green	Rotates when Yoshi stands on it. Follows a line-guide if spawned on one; otherwise moves horizontally.	t16D p10 x+4 y-4; t16D p10 x+8 y-10; t16D p10 x+10 y0; t16D p10 x0 y+8; t16D p10 x-8 y-8; t16D p10 x+C y-1C; t16D p10 x+1C y+4; t16D p10 x-4 y+14; t16D p10 x-14 y-C; t48 p10 r32,16 x+7 y-27; t48 p10 r32,16 x+1D y+7; t48 p10 r32,16 x-17 y+1D; t48 p10 r32,16 x-27 y-17		3						0	0			1	
0x056	None	4-way manual platform, small pink	Rotates when Yoshi stands on it. Follows a line-guide if spawned on one; otherwise moves horizontally.	t16D p14 x+4 y-4; t16D p14 x+8 y-10; t16D p14 x+10 y0; t16D p14 x0 y+8; t16D p14 x-8 y-8; t48 p14 r16,16 x+5 y-18; t4B p14 r8,16 x+15 y-18; t48 p14 r16,16 x+12 y+1; t4B p14 r8,16 x+22 y+1; t48 p14 r16,16 x-D y+E; t4B p14 r8,16 x+3 y+E; t48 p14 r16,16 x-1A y-F; t4B p14 r8,16 x-A y-F		3						0	0			1	
0x057	None	Ghost lift (Liquid lift), irregular loop			L3=?	3						0	0			1	
0x058	None	Toady, green	A Toady that homes in on Yoshi, grabbing Baby Mario if they touch.	t4C p10 y-6; t4C p10 x+8 y-6 fx; t4F p10 x+6 y+E fx; t4F p10 x+1 y+E fx; t0E p10 r16		3						0	0	1			
0x059	None	Super Star, continuous	A stationary Super Star that only spawns if you're already in Super Baby form.	d082AA064 p12 r16 o50		3						0	0		1		
0x05A	None	Raphael's shockwave	(doesn't spawn when placed directly)			1						0	0	1			
0x05B	None	Bandit, red coin	Flees when approached, but acts like a normal Bandit if stomped or tongued.	s4E t08 p14 r16 x-4 y-A; s4E t0A p14 x-4 y+5; s4E t0B p14 x+4 y+5; s4E t1E p14 x+7 y+8; s4E t1E p14 x-4 y+8; t140 p11 r16 x-4 y-1A		3				2	0	0	0	1	1	0	0
0x05C	None	Toady, pink, spawns to grab Baby Mario	A Toady that swoops in only if Baby Mario is off Yoshi's back.	t4C p14 y-6; t4C p14 x+8 y-6 fx; t4F p14 x+6 y+E fx; t4F p14 x+1 y+E fx; t0E p14 r16		3						0	0	1			
0x05D	None	Unused sprite ID				0											
0x05E	None	3-wide wooden platform, tilting	A pseudo-3D wooden platform that tilts back and forth around the x-axis.		L3=?	3						0	0			1	
0x05F	None	3-wide wooden platform, rotates	A pseudo-3D wooden platform, rotating around the x-axis, that periodically flips 180°.		L3=?	3						0	0			1	
0x060	None	Bomb	Falls to the ground and explodes.	t1CC p14 r16		2						0	0	1			
0x061	None	Baby Mario	Another Baby Mario, sitting in place. Pose matches the Baby Mario on Yoshi's back.	tC4 p15 r16 y+3; tC2 p15 r16 x-3 y-4		1											
0x062	None	Goomba	Becomes flattened but continues walking when jumped on.	s26 t0C p14 r16 y-1; s26 t0E p11 x+2 y+C; s26 t0E p11 x+7 y+C fx; s26 t1F p14 x+4 y-6		3						0	0	1			
0x063	None	Muddy Buddy	When stood on, makes Yoshi immune to spikes from any direction.	t12E p14 y+9; t12E p14 x+8 y+9; d08293EA4 p14 r16 y-1		3						0	0		0	1	
0x064	None	4-way rotating platform, pink	Rotates in place with a buzzing sound.			3	3				0	0	0	0	0	1	0
0x064	0	large clockwise		t16D p14 x+4 y-4; t16D p14 x+8 y-10; t16D p14 x+10 y0; t16D p14 x0 y+8; t16D p14 x-8 y-8; t16D p14 x+C y-1C; t16D p14 x+1C y+4; t16D p14 x-4 y+14; t16D p14 x-14 y-C; t48 p14 r32,16 x+7 y-27; t48 p14 r32,16 x+1D y+7; t48 p14 r32,16 x-17 y+1D; t48 p14 r32,16 x-27 y-17													
0x064	1	large counterclockwise		t16D p14 x+4 y-4; t16D p14 x0 y-10; t16D p14 x-8 y0; t16D p14 x+8 y+8; t16D p14 x+10 y-8; t16D p14 x-4 y-1C; t16D p14 x-14 y+4; t16D p14 x+C y+14; t16D p14 x+1C y-C; t48 p14 r32,16 x-17 y-27; t48 p14 r32,16 x-27 y+7; t48 p14 r32,16 x+7 y+1D; t48 p14 r32,16 x+1D y-17													
0x064	2	small clockwise		t16D p14 x+4 y-4; t16D p14 x+8 y-10; t16D p14 x+10 y0; t16D p14 x0 y+8; t16D p14 x-8 y-8; t48 p14 r16,16 x+5 y-18; t4B p14 r8,16 x+15 y-18; t48 p14 r16,16 x+12 y+1; t4B p14 r8,16 x+22 y+1; t48 p14 r16,16 x-D y+E; t4B p14 r8,16 x+3 y+E; t48 p14 r16,16 x-1A y-F; t4B p14 r8,16 x-A y-F													
0x064	3	small counterclockwise		t16D p14 x+4 y-4; t16D p14 x0 y-10; t16D p14 x-8 y0; t16D p14 x+8 y+8; t16D p14 x+10 y-8; t48 p14 r16,16 x-D y-18; t4B p14 r8,16 x+3 y-18; t48 p14 r16,16 x-1A y+1; t4B p14 r8,16 x-A y+1; t48 p14 r16,16 x+5 y+E; t4B p14 r8,16 x+15 y+E; t48 p14 r16,16 x+12 y-F; t4B p14 r8,16 x+22 y-F													
0x065	None	Red coin, stationary, disguised	A red coin disguised as a yellow coin.	t140 p11 r16		3	0			2	0	0	0	0	1	0	0
0x066	None	Piranha Plant, ground	Eats Yoshi briefly if touched.	s29 t1A p11 x+8 y+8 fx; s29 t1A p11 y+8; s29 t0A p11 x+4; d082971A4 p11 r32 x-17 y-12		3	0				0	0	0	1	0	0	0
0x067	None	Winged cloud, Chomp Rock activated	Becomes visible only when a Chomp Rock rolls over it. Otherwise has no collision.	t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50	See tooltip	3	3			2	0	0	0	0	1	0	0
0x067	0	5 stars	<i>Global</i><br> Becomes visible only when a Chomp Rock rolls over it. Otherwise has no collision.	t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; t14A p12 r16 x+5 y+3 o50; t12E p10 x+5 y+D o50; t12E p10 x+C y+D fx o50; t8B p12 x+12 y+B o50													
0x067	1	vine (6 leaves)	<i>Stripe 5C</i><br> Becomes visible only when a Chomp Rock rolls over it. Otherwise has no collision.	t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50;s5C t00 p11 r16 x+4 o50; s5C t00 p11 r16 x+4 y+10 fy o50; s5C t02 p11 r32,16 x-13 y+7 o50; s5C t0E p11 r16 x-8 y-18 fx o50; s5C t0E p11 r16 x+8 y-18 o50; s5C t0E p11 r16 x-8 y-8 fxy o50; s5C t0E p11 r16 x+8 y-8 fy o50; s5C t1B p11 y-8 fx o50; s5C t1B p11 x+8 y-8 o50													
0x067	2	Special Flower	<i>Dynamic</i><br> Becomes visible only when a Chomp Rock rolls over it. Otherwise has no collision.	t187 p10 x+12 y-1 o50; t1A7 p10 x+F y+2 o50; t187 p10 x-A y-1 fx o50; t1A7 p10 x-7 y+2 fx o50; t18C p10 r16 o50; d08293F24 p11 r32 x-8 y-8 o50													
